target,pillar,n_reps,contribution_ablated,placebo_mean,placebo_p95,placebo_max,p
broadband_rate,A,20,-0.0025629520333230182,-0.0021667339024363575,-0.00021795928802693644,-7.232846253368841e-05,0.5238095238095238
broadband_rate,B,20,0.0034501178380634823,-0.0011204899778428147,0.0025941477720033473,0.0030915029800413496,0.047619047619047616
broadband_rate,C,20,0.003884846423541699,-0.0004432811073198484,0.0005469896683366561,0.0006814775911658799,0.047619047619047616
broadband_rate,D,20,0.014072529956680735,-0.000952660600417049,0.0011562993765878006,0.002747359126283766,0.047619047619047616
broadband_rate,E,20,0.04036425100537511,-0.0026964463149581953,5.7328812422563994e-05,0.0007313110531602662,0.047619047619047616
broadband_rate,F,20,0.03679207184601263,-0.00029704727729820137,0.0017507996983072156,0.0024886016107726894,0.047619047619047616
median_household_income,A,20,-0.003156548411528015,-0.00294452568954322,-0.0013936280944055299,-0.0010819257151067907,0.6666666666666666
median_household_income,B,20,0.02305568501480615,-0.006515686097183343,-0.0016229556544840697,-0.0003212331867609164,0.047619047619047616
median_household_income,C,20,0.0034840094904013963,-0.0004260994543431762,0.000551064879039087,0.0005830498627292791,0.047619047619047616
median_household_income,D,20,0.01665517635360736,-0.001392701899530624,-0.0007038234097729577,-0.00041495549045289515,0.047619047619047616
median_household_income,E,20,0.08017867303053094,-0.0012758036147846486,3.6090325853277576e-05,0.0002405774578344566,0.047619047619047616
median_household_income,F,20,0.014859093081724062,-0.0020758819957644226,-0.0005151288871279797,0.00025360448622380183,0.047619047619047616
median_age,A,20,0.006960352765634226,-0.004445505889125678,-0.001317745195971509,-0.0010490231530774219,0.047619047619047616
median_age,B,20,-0.004638121499641268,-0.008608339687716631,-0.003648243824720806,0.0005488493829347574,0.14285714285714285
median_age,C,20,0.012041481193707182,-0.0007247525946315169,0.0003937419555519684,0.0004968284924460331,0.047619047619047616
median_age,D,20,0.024417881389467655,-0.00246544174654873,0.00011802261255302141,0.0014913979491452123,0.047619047619047616
median_age,E,20,0.03045933099995124,-0.002121348147162938,0.0008092805524192729,0.0012212786507758144,0.047619047619047616
median_age,F,20,0.10894624834440092,-0.00413245112940745,-0.00030972735882230773,0.001788177511254485,0.047619047619047616
median_home_value,A,20,-0.0025107274757792952,-0.0031343810246618033,-0.0008411916962907525,0.0025395643797947454,0.6666666666666666
median_home_value,B,20,-0.0016178980019433409,-0.005511124223675323,-0.0016274588944447108,-0.0013245763668507937,0.09523809523809523
median_home_value,C,20,0.0070792238266707,-0.00044713523851069306,0.00020276948401938278,0.0002182359034302861,0.047619047619047616
median_home_value,D,20,0.027850599092755335,-0.000954609096742165,0.0002261953165799248,0.00040761062596061937,0.047619047619047616
median_home_value,E,20,0.10553676862000028,-0.0010401487316492764,0.0006361316530508476,0.0007053331161656073,0.047619047619047616
median_home_value,F,20,0.023167057828809345,-0.0018823774409111814,-0.0009179160861802755,-0.0003484825161099714,0.047619047619047616
mean_commute_minutes,A,20,0.0010412017580005983,-0.0058584663341909645,-0.0013915591985488307,-0.0013889789557397503,0.047619047619047616
mean_commute_minutes,B,20,0.013109111183007838,-0.014263320118890782,-0.0063900305164807485,-0.005530608278241811,0.047619047619047616
mean_commute_minutes,C,20,0.00027050813395246287,-0.0009686153212705273,0.00042530294217435065,0.0022631241909358835,0.19047619047619047
mean_commute_minutes,D,20,0.01242640541856177,-0.002550996101337688,0.00036344517342161154,0.00039505380592896877,0.047619047619047616
mean_commute_minutes,E,20,0.034534566008518786,-0.0017775142622877549,0.002037290956507726,0.0023270393319859695,0.047619047619047616
mean_commute_minutes,F,20,0.022762671577604254,-0.004903409444962176,-0.002710429959697463,-0.0020373893483858208,0.047619047619047616
per_capita_income,A,20,0.0021316153265065196,-0.0019069580730558088,-0.0008838084363651571,-0.00017733228009053636,0.047619047619047616
per_capita_income,B,20,0.002393535504852551,-0.004872323436318232,-0.002527077205430982,-0.0014280169225234784,0.047619047619047616
