target,population_decile,n,median_population,variance_total,variance_sampling_noise,noise_share,r2_ceiling,rmse_grand_mean,r2_grand_mean,rmse_size,r2_size,rmse_emacro,r2_emacro,rmse_size_emacro,r2_size_emacro,rmse_size_emacro_drop_A,r2_size_emacro_drop_A,rmse_size_emacro_drop_B,r2_size_emacro_drop_B,rmse_size_emacro_drop_C,r2_size_emacro_drop_C,rmse_size_emacro_drop_D,r2_size_emacro_drop_D,rmse_size_emacro_drop_E,r2_size_emacro_drop_E,rmse_size_emacro_drop_F,r2_size_emacro_drop_F,rmse_size_emacro_drop_BE,r2_size_emacro_drop_BE,rmse_size_emacro_no_ametro,r2_size_emacro_no_ametro,rmse_size_emacro_drop_F_no_ametro,r2_size_emacro_drop_F_no_ametro,rmse_size_geo,r2_size_geo,rmse_size_geo_emacro,r2_size_geo_emacro,rmse_size_geo_emacro_drop_A,r2_size_geo_emacro_drop_A,rmse_size_geo_emacro_drop_B,r2_size_geo_emacro_drop_B,rmse_size_geo_emacro_drop_C,r2_size_geo_emacro_drop_C,rmse_size_geo_emacro_drop_D,r2_size_geo_emacro_drop_D,rmse_size_geo_emacro_drop_E,r2_size_geo_emacro_drop_E,rmse_size_geo_emacro_drop_F,r2_size_geo_emacro_drop_F,rmse_reduction,share_of_explainable,r2_lift_over_size
broadband_rate,1,315,2631.0,0.006402675398601669,0.002736516215432696,0.42740199136603824,0.5725980086339617,0.08598594114225415,-0.15476447169786822,0.07999879498636368,0.0004479688806412474,0.07107965879771355,0.2109051950528691,0.07102457710979068,0.21212770606388875,0.0711788794097559,0.2087006511160836,0.0695159305796343,0.24524291745167404,0.07160081909756193,0.19929139363187998,0.07202490354116672,0.18977827124465363,0.07524931224706942,0.11561048450252198,0.07495751668954845,0.1224560112025933,0.0720090504176728,0.190134901546406,0.07103683143187987,0.21185580937253168,0.07498650158829959,0.12177721493110472,0.07833456997831278,0.04160300629525293,0.0718539785670248,0.19361924281870557,0.07205789627832697,0.18903581818436033,0.07069248007559356,0.21947835426271645,0.07250264676762547,0.17899417648767424,0.07335696285967279,0.1595319667196209,0.07586424025895284,0.10109718332353923,0.07647913432815354,0.08646657476011121,0.11217941317869494,0.3704653227313147,0.2116797371832475
broadband_rate,2,314,6761.5,0.004551602366439121,0.0007552588968945369,0.16593253014880616,0.8340674698511938,0.0746135264886795,-0.2231249320296571,0.06054657247684665,0.19459409158318075,0.05737525029619715,0.2767559462522524,0.057184737940934934,0.28155098136753254,0.05692074254290524,0.28816916092553013,0.056735395348229085,0.29279738734336824,0.057196424720117475,0.28125729415959055,0.0579677080654809,0.26174236942545903,0.059233602981565055,0.2291462567011121,0.059047990979477556,0.23396971923094345,0.057894927751626746,0.26359501785997863,0.05711358837508849,0.2833376656249982,0.059022452515004944,0.2346321975371949,0.060854119450804586,0.18639117480072065,0.057282071660711566,0.27910316640644484,0.05704210205002383,0.2851305662645359,0.05693847613800422,0.28772555159417423,0.057385806860495346,0.2764897801021211,0.058355604986324826,0.2518290572943601,0.06023505515231954,0.2028605363342637,0.059647110636856196,0.21834608542293676,0.05552477041036969,0.3375637961492061,0.08695688978435179
broadband_rate,3,315,10800.0,0.0043672286139454525,0.0005458788268680152,0.12499433281896731,0.8750056671810327,0.0739192368868499,-0.251148969963787,0.055642204271324235,0.2910710269928537,0.05194825123702735,0.3820747560665667,0.05190157263325248,0.3831847425612174,0.051705041906025186,0.3878471692626595,0.052309998450841694,0.3734388144487373,0.05180043549024407,0.38558629415216317,0.053554317541277395,0.3432757520058247,0.052418111392279955,0.370846217402122,0.05264077386594359,0.3654898064285259,0.052330064731644754,0.372958020545628,0.05195173475086917,0.3819918803869655,0.052817205575613244,0.36122940852955443,0.05478240051830239,0.31281101315270354,0.052169364457576195,0.376803270793598,0.05201824542711725,0.3804084703339504,0.05307622845669228,0.35494880707837007,0.052013366275385706,0.38052469644969633,0.05349647596389911,0.3446935817791882,0.05296508080377852,0.3576475993052223,0.05378663549912053,0.3375656705771467,0.06722651783943664,0.4379225837424652,0.09211371556836367
broadband_rate,4,314,15913.0,0.003908276570142969,0.00044044641347779697,0.11269581504097213,0.8873041849590279,0.06733028041936918,-0.1599400861196103,0.051800115300269255,0.31344368880653883,0.048200195897382114,0.4055541252391398,0.04810050222129491,0.4080105968917751,0.04838164641076072,0.40107009639539226,0.048749554760724394,0.3919265828001699,0.04814758032837146,0.4068512169311036,0.04857165157124314,0.3963566052665656,0.049489432834630864,0.3733289038437101,0.04856002750233502,0.39664549611409083,0.049936701538094146,0.3619504362728677,0.04808066277188541,0.40849883801872244,0.04859681383707501,0.39573101526207155,0.050101807953142015,0.35772427689740005,0.04756625702481779,0.4210878460762921,0.04788048226867631,0.41341393293536455,0.048503697332132494,0.39804448005043414,0.04753769398830428,0.4217828986337593,0.04774008512295771,0.4168489136724848,0.048606043099756344,0.3955014740093108,0.04790635285009877,0.4127798782381943,0.07142094293668715,0.4598317057533267,0.09456690808523627
broadband_rate,5,314,21832.5,0.00284838739058296,0.0003122071954541596,0.10960840385909104,0.890391596140909,0.05663657610984549,-0.1261465922968512,0.04434223610014304,0.3097027781890255,0.04032552813175695,0.4290986456121376,0.0401924818275369,0.43285958897386356,0.040140216769932235,0.4343336135863921,0.04168965588843548,0.3898205651933978,0.04016508869711782,0.4336323930583149,0.040873498915929285,0.41347763329040943,0.0416350844449871,0.39141696018166017,0.04085528864780448,0.4140001405659196,0.0426765819398541,0.36058885385799644,0.04025120064903053,0.4312012617929303,0.0409009471855917,0.412689620025251,0.04159467169453213,0.3925978189989735,0.03894092523969685,0.46763011817247635,0.03909073343156682,0.46352611822752354,0.04014598394285982,0.43417105690441105,0.038941923486158776,0.46760282333244074,0.03916195804472965,0.46156939081826176,0.039188397611249655,0.4608421198553718,0.03861155237706173,0.4765978876695355,0.09358468669090757,0.48614518696036896,0.12315681078483809
broadband_rate,6,314,30910.0,0.002847530925658091,0.00021864742832595121,0.07678491789353253,0.9232150821064675,0.05351023349335823,-0.005553640423403117,0.044384095010677,0.30819087084663377,0.04229370412523867,0.37182160428342603,0.04199205779272124,0.3807502135346543,0.0418022325239582,0.38633620156970827,0.0420534428175032,0.378938421047597,0.04185108197459105,0.38490112726724846,0.04291385505993016,0.35326463375315853,0.04290121742189762,0.35364548995878886,0.04340647778046147,0.33833122010070626,0.04329235919052877,0.34180579132828603,0.0421831882155451,0.3751002484312398,0.04364970876424843,0.3308950368068877,0.04347433594289058,0.3362608045289247,0.041419707757436836,0.39751587059059457,0.04138333919434329,0.39857342814344454,0.04166932335965544,0.3902322557391563,0.04130798002846106,0.40076183241543384,0.04181312425656692,0.3860163749789485,0.04189642749553297,0.3835674896198775,0.042528387858867714,0.364830858349225,0.05389401805715157,0.4124176705019917,0.07255934268802056
broadband_rate,7,315,44668.0,0.002470797829542516,0.00014281340580635013,0.05780052260803262,0.9421994773919674,0.05043726764008218,-0.02959373550538702,0.04157420361536839,0.30046303846230216,0.040450723535986784,0.3377600485881115,0.04029799095535014,0.34275153732907315,0.04003606897632206,0.3512675137109045,0.04036097709614981,0.3406953605517976,0.04052144951172142,0.33544224019534097,0.040318676742863574,0.34207660584009936,0.04150704598118419,0.30272123219278846,0.04141828171526765,0.30570035324868905,0.04130059750245997,0.30964025722167987,0.040268068782121205,0.3437272187737519,0.041400940008990354,0.3062816337565816,0.041035626316805796,0.31847008805074384,0.03951458643756121,0.3680573446105868,0.039302608545161294,0.3748193316406646,0.03996307446693977,0.3536309196346197,0.03979167978481702,0.3591633596381344,0.039301729535931786,0.37484729586251486,0.0399221631279049,0.3549536551494593,0.0404545274185794,0.33763549202906107,0.030697224457391342,0.3637781017219605,0.042288498866770996
broadband_rate,8,314,70275.5,0.0023518366988700117,9.924605453243634e-05,0.04219938169181608,0.957800618308184,0.05258240595807379,-0.17563835008958373,0.040478977069103174,0.30329023892336815,0.037592320608933576,0.39911535123002173,0.03760523001664202,0.3987025862450344,0.03730828343982997,0.40816128352131686,0.03703831165013938,0.416695670004649,0.0380015638778266,0.38596125408945614,0.038181091930344586,0.38014583168386984,0.03979739416509118,0.32655503543565845,0.03866121746941961,0.3644585370506759,0.03884069383085819,0.35854411235809736,0.037578471110084485,0.39955801708088534,0.03859758138551497,0.36654900847187033,0.0408003550952717,0.2921834340368583,0.03713634859856647,0.41360367924487673,0.03692546169958193,0.4202447294140752,0.037156062386431606,0.41298093837564387,0.037666685869075206,0.39673565556602153,0.03748081715093236,0.4026746606273318,0.03909113764258693,0.35024526025727365,0.03840297541749847,0.3729205256361615,0.07099356902115574,0.4162688754046586,0.09541234732166626
broadband_rate,9,314,144842.0,0.001205895552688961,4.504776881040978e-05,0.037356277423828466,0.9626437225761715,0.05874899123336854,-1.8621417196889278,0.03168346657337953,0.1675547257239276,0.029637325729659117,0.27160269026012873,0.02931290042856349,0.2874622270404005,0.02934470952685806,0.2859149573148957,0.029871808841364877,0.26003130083256565,0.029622410038204504,0.27233567242630763,0.028739134853286618,0.3150834081163335,0.03103685111599417,0.20118610185732166,0.030503543364382314,0.22840236394606783,0.030657857447949403,0.22057576114038624,0.02915877726895302,0.294935378172247,0.030370502495695364,0.23511831535965022,0.03278318848861363,0.1087640674323157,0.028803303915764224,0.31202141461262467,0.028955781154830787,0.3047181736288288,0.030017817107087685,0.25277994278582383,0.029136085840714667,0.2960323170405993,0.028371571493435582,0.33249105429386394,0.030269075988522208,0.24021864152669847,0.030264183637682376,0.24046422659657418,0.07482028960832819,0.2986174638641082,0.11990750131647288
broadband_rate,10,315,468058.0,0.0007946035878087134,1.420971406670015e-05,0.017882771088268586,0.9821172289117314,0.07456902651659959,-5.997878943597136,0.029779457674574315,-0.11604844604005016,0.023546903628162568,0.302222291742973,0.022868894006201738,0.34182739533163387,0.02179949361797369,0.40194339757439423,0.026579057203844396,0.11094501373520493,0.02368344499515789,0.2941064255882804,0.023074526814142845,0.32993785094163064,0.025560131478162208,0.1778034592285106,0.027963448705126362,0.015918785817923164,0.026133336705978474,0.1405132095219659,0.02288100340910955,0.34113018737877165,0.028235438300825304,-0.0033178660044430597,0.0299544065278297,-0.1292001246922223,0.021978390204696944,0.3920872704312479,0.021007742624146807,0.4445969576107228,0.026057891623227705,0.1454686006132897,0.022927924849866815,0.3384251644636539,0.02240361224691925,0.3683368041485122,0.024108437693546727,0.2685449991152794,0.02758132743699698,0.042630017208059146,0.23205807654021895,0.3480515210087572,0.457875841371684
